Token	NER
entre	O
vous	O
deux	O
ce	O
mouvement	O
jaloux	O
,	O
Qui	O
vous	O
fait	O
oublier	O
la	O
part	O
que	O
je	O
dois	O
prendre	O
,	O
Mais	O
si	O
vous	O
ignorez	O
ce	O
que	O
je	O
dois	O
prétendre	O
,	O
Vous	O
permettrez	O
mes	O
soeurs	O
que	O
je	O
garde	O
pour	O
moi	O
Ce	O
que	O
vous	O
disputez	O
,	O
et	O
ce	O
que	O
je	O
me	O
dois	O
.	O

Ce	O
jugement	O
sans	O
doute	O
étonne	O
l'	O
une	O
et	O
l'	O
autre	O
;	O

Vous	O
blâmez	O
mon	O
orgueil	O
pour	O
contenter	O
le	O
vôtre	O
:	O
Mais	O
voyons	O
si	O
j'	O
ai	O
tort	O
,	O
et	O
si	O
c'	O
est	O
un	O
arrêt	O
Dicté	O
par	O
la	O
justice	O
ou	O
par	O
mon	O
intérêt	O
.	O

Je	O
commence	O
par	O
vous	O
de	O
qui	O
l'	O
humeur	O
altière	O
Prétend	O
entre	O
les	O
soeurs	O
la	O
préférence	O
entière	O
.	O

Vous	O
imaginez	O
que	O
toutes	O
ces	O
horreurs	O
,	O
Ces	O
grands	O
emportements	O
,	O
et	O
ces	O
nobles	O
fureurs	O
,	O
Dont	O
le	O
monde	O
autrefois	O
fut	O
longtemps	O
idolâtre	O
,	O
Font	O
encore	O
aujourd'	O
hui	O
les	O
beautés	O
du	O
Théâtre	O
.	O

Vos	O
sujets	O
quelquefois	O
ont	O
de	O
tels	O
embarras	O
,	O
Qu'	O
on	O
se	O
lasse	O
d'	O
ouïr	O
ce	O
que	O
l'	O
on	O
entend	O
pas	O
:	O
Par	O
le	O
profond	O
secret	O
d'	O
un	O
art	O
impénétrable	O
,	O
Vous	O
embrouillez	O
si	O
fort	O
l'	O
intrigue	O
de	O
la	O
fable	O
,	O
Qu'	O
à	O
peine	O
un	O
Jupiter	O
la	O
pourrait	O
démêler	O
.	O

Tout	O
ce	O
que	O
sur	O
la	O
scène	O
on	O
nous	O
voit	O
étaler	O
,	O
N'	O
est	O
souvent	O
que	O
fumée	O
,	O
et	O
qu'	O
un	O
éclat	O
qui	O
trompe	O
,	O
N'	O
a	O
que	O
de	O
faux	O
brillants	O
,	O
et	O
qu'	O
une	O
vaine	O
pompe	O
.	O

Vous	O
avez	O
beau	O
donner	O
les	O
plus	O
belles	O
couleurs	O
,	O
Aux	O
furieux	O
transports	O
,	O
aux	O
crimes	O
,	O
aux	O
douleurs	O
,	O
Aux	O
plaintes	O
d'	O
un	O
amant	O
,	O
au	O
désespoir	O
,	O
aux	O
larmes	O
,	O
Ma	O
soeur	O
sur	O
le	O
théâtre	O
on	O
cherche	O
d'	O
autres	O
charmes	O
;	O

On	O
y	O
veut	O
des	O
objets	O
agréables	O
et	O
doux	O
,	O
Sans	O
y	O
mêler	O
l'	O
horreur	O
,	O
la	O
crainte	O
et	O
le	O
courroux	O
.	O

Pour	O
vous	O
vous	O
le	O
savez	O
,	O
le	O
siècle	O
vous	O
fait	O
grâce	O
,	O
Bien	O
souvent	O
votre	O
Jeu	O
n'	O
est	O
que	O
pure	O
grimace	O
;	O

Un	O
geste	O
ridicule	O
,	O
et	O
des	O
tons	O
imités	O
,	O
Font	O
ordinairement	O
vos	O
plus	O
grandes	O
beautés	O
.	O

On	O
vous	O
voit	O
tous	O
les	O
jours	O
avec	O
tant	O
de	O
licence	O
,	O
(	O
Soit	O
adresse	O
ou	O
chagrin	O
)	O
pousser	O
la	O
médisance	O
,	O
Que	O
les	O
plus	O
retenus	O
en	O
gronde	O
contre	O
vous	O
.	O

Pour	O
moi	O
qui	O
n'	O
ai	O
l'	O
esprit	O
,	O
ni	O
chagrin	O
ni	O
jaloux	O
,	O
J'	O
avouerai	O
que	O
vos	O
vers	O
vous	O
donnent	O
de	O
la	O
gloire	O
;	O

Vous	O
aurez	O
votre	O
place	O
au	O
temple	O
de	O
mémoire	O
;	O

On	O
vous	O
doit	O
estimer	O
tout	O
ce	O
que	O
vous	O
valez	O
,	O
Mais	O
peut-être	O
un	O
peu	O
moins	O
que	O
ce	O
que	O
vous	O
voulez	O
.	O

Je	O
ne	O
vous	O
direz	O
point	O
à	O
sa	O
honte	O
et	O
la	O
vôtre	O
,	O
Pour	O
ne	O
pas	O
tout	O
à	O
fait	O
confondre	O
l'	O
une	O
et	O
l'	O
autre	O
,	O
Qu'	O
on	O
vous	O
voit	O
tous	O
les	O
jours	O
sans	O
front	O
et	O
sans	O
pudeur	O
Briguer	O
chez	O
les	O
mortels	O
l'	O
estime	O
et	O
la	O
faveur	O
.	O

Moi-même	O
j'	O
en	O
rougis	O
,	O
quand	O
je	O
vois	O
des	O
Déesses	O
Pour	O
un	O
faible	O
intérêt	O
faire	O
mille	O
bassesses	O
.	O

Est-ce	O
là	O
le	O
moyen	O
de	O
mériter	O
le	O
prix	O
?	O

Mais	O
je	O
veux	O
autrement	O
convaincre	O
vos	O
esprits	O
.	O

Pour	O
vous	O
faire	O
céder	O
la	O
gloire	O
et	O
l'	O
art	O
de	O
plaire	O
,	O
Voyez	O
si	O
comme	O
vous	O
je	O
suis	O
triste	O
et	O
sévère	O
.	O

Je	O
n'	O
ai	O
point	O
vos	O
défauts	O
,	O
et	O
j'	O
ai	O
tous	O
vos	O
appas	O
.	O

Je	O
chante	O
sur	O
un	O
ton	O
ni	O
trop	O
haut	O
ni	O
trop	O
bas	O
;	O

J'	O
ai	O
de	O
vos	O
passions	O
le	O
tendre	O
et	O
l'	O
agréable	O
;	O

J'	O
ai	O
comme	O
vous	O
le	O
style	O
ingénu	O
,	O
raisonnable	O
;	O

Dans	O
ma	O
façon	O
d'	O
agir	O
et	O
dans	O
mes	O
sentiments	O
Je	O
n'	O
ai	O
ni	O
vos	O
chagrins	O
,	O
ni	O
vos	O
emportements	O
;	O

Plus	O
discrète	O
que	O
vous	O
je	O
plais	O
sans	O
médisance	O
;	O

Et	O
plus	O
douce	O
que	O
vous	O
j'	O
agis	O
sans	O
violence	O
:	O
Ainsi	O
vous	O
voyez	O
bien	O
si	O
j'	O
ai	O
droit	O
d'	O
emporter	O
Le	O
prix	O
qu'	O
entre	O
vous	O
deux	O
vous	O
osez	O
disputer	O
.	O

Je	O
sais	O
bien	O
toutefois	O
qu'	O
elle	O
est	O
votre	O
espérance	O
,	O
Pour	O
emporter	O
l'	O
honneur	O
de	O
cette	O
préférence	O
.	O

Comme	O
le	O
grand	O
Louis	O
anime	O
votre	O
voix	O
,	O
Vous	O
me	O
croyez	O
mal	O
propre	O
à	O
chanter	O
ses	O
exploits	O
.	O

Le	O
moyen	O
que	O
je	O
puisse	O
avec	O
des	O
soins	O
rustiques	O
Célébrer	O
dignement	O
ses	O
vertus	O
héroïques	O
,	O
Ce	O
qu'	O
il	O
fait	O
tous	O
les	O
jours	O
pour	O
l'	O
honneur	O
des	O
beaux	O
arts	O
;	O

Son	O
règne	O
plus	O
heureux	O
que	O
celui	O
des	O
Césars	O
;	O

Le	O
retour	O
de	O
la	O
paix	O
si	O
longtemps	O
exilée	O
;	O

L'	O
injustice	O
bannie	O
et	O
la	O
foi	O
rappelée	O
;	O

Ses	O
amis	O
secourus	O
,	O
ses	O
ennemis	O
défaits	O
;	O

La	O
gloire	O
du	O
triomphe	O
au	O
milieu	O
de	O
la	O
paix	O
;	O

Le	O
commerce	O
établi	O
par	O
sa	O
sage	O
conduite	O
;	O

Des	O
tyrans	O
de	O
la	O
mer	O
la	O
défaite	O
ou	O
la	O
fuite	O
;	O

Et	O
tout	O
ce	O
qui	O
le	O
rend	O
la	O
gloire	O
des	O
François	O
,	O
La	O
terreur	O
de	O
l'	O
Europe	B-LOC
et	O
l'	O
exemple	O
des	O
Rois	O
.	O

Mais	O
vous	O
verrez	O
un	O
jour	O
ce	O
que	O
peut	O
ma	O
musette	O
,	O
Notre	O
grand	O
Apollon	O
a	O
porté	O
la	O
houlette	O
,	O
Et	O
ma	O
voix	O
pour	O
les	O
Rois	O
n'	O
est	O
pas	O
à	O
négliger	O
,	O
Si	O
les	O
Dieux	O
ont	O
paru	O
sous	O
l'	O
habit	O
de	O
Berger	O
.	O

Hé	O
quoi	O
ma	O
soeur	O
de	O
Juge	O
on	O
vous	O
voit	O
ma	O
partie	O
,	O
De	O
vos	O
prétentions	O
j'	O
étais	O
mal	O
avertie	O
.	O

Vous	O
disputer	O
le	O
prix	O
?	O

Vous	O
dont	O
la	O
faible	O
voix	O
Ne	O
sait	O
représenter	O
que	O
les	O
plaisirs	O
des	O
bois	O
,	O
Les	O
amours	O
des	O
Bergers	O
,	O
et	O
cette	O
vie	O
obscure	O
Qui	O
ne	O
saurait	O
fournir	O
une	O
illustre	O
aventure	O
?	O

Vous	O
prétendre	O
à	O
mon	O
rang	O
avec	O
tant	O
de	O
fierté	O
?	O

Votre	O
exemple	O
ma	O
soeur	O
a	O
fait	O
sa	O
vanité	O
,	O
Et	O
vous	O
voyant	O
prétendre	O
un	O
pareil	O
avantage	O
,	O
Votre	O
présomption	O
vient	O
d'	O
enfler	O
son	O
courage	O
.	O

En	O
vain	O
à	O
mon	O
orgueil	O
vous	O
imputez	O
le	O
sien	O
;	O

Vous	O
confondez	O
nos	O
droits	O
pour	O
détruire	O
le	O
mien	O
:	O
Mais	O
pour	O
mieux	O
distinguer	O
son	O
mérite	O
et	O
le	O
nôtre	O
,	O
Défions-nous	O
,	O
ma	O
soeur	O
,	O
doutons	O
l'	O
une	O
de	O
l'	O
autre	O
,	O
Cherchons	O
un	O
autre	O
Juge	O
,	O
allons	O
lui	O
faire	O
voir	O
Par	O
quelque	O
grand	O
essai	O
quel	O
est	O
notre	O
savoir	O
:	O
Consultons	O
Apollon	O
,	O
et	O
qu'	O
un	O
Dieu	O
si	O
fidèle	O
Décide	O
entre	O
nous	O
trois	O
cette	O
grande	O
querelle	O
.	O

C'	O
est	O
le	O
Dieu	O
du	O
Théâtre	O
il	O
peut	O
seul	O
nous	O
juger	O
.	O

Ma	O
gloire	O
entre	O
ses	O
mains	O
ne	O
court	O
pas	O
grand	O
danger	O
.	O

Divin	O
dispensateur	O
de	O
la	O
plus	O
belle	O
gloire	O
Venez	O
par	O
votre	O
arrêt	O
assurer	O
ma	O
victoire	O
,	O
Venez	O
donner	O
le	O
prix	O
à	O
qui	O
l'	O
a	O
mérité	O
.	O

Il	O
vient	O
et	O
nous	O
fait	O
voir	O
toute	O
sa	O
majesté	O
.	O

Arbitre	O
souverain	O
des	O
filles	O
du	O
Parnasse	B-LOC
,	O
Le	O
croirez-vous	O
!	O

On	O
veut	O
me	O
contester	O
ma	O
place	O
:	O
Mes	O
soeurs	O
fières	O
d'	O
avoir	O
l'	O
honneur	O
d'	O
un	O
même	O
sang	O
,	O
Me	O
veulent	O
disputer	O
celui	O
du	O
premier	O
rang	O
,	O
Et	O
mettant	O
devant	O
vous	O
leur	O
adresse	O
en	O
usage	O
,	O
Par	O
des	O
nouveaux	O
efforts	O
briguer	O
votre	O
suffrage	O
.	O

Je	O
sais	O
de	O
toutes	O
trois	O
le	O
mérite	O
et	O
l'	O
emploi	O
:	O
Je	O
suis	O
le	O
Dieu	O
des	O
vers	O
comme	O
de	O
la	O
lumière	O
,	O
Et	O
puisque	O
l'	O
on	O
s'	O
adresse	O
à	O
moi	O
,	O
Pour	O
savoir	O
qui	O
des	O
trois	O
doit	O
être	O
la	O
première	O
,	O
J'	O
userai	O
du	O
pouvoir	O
que	O
vous	O
m'	O
avez	O
donné	O
.	O

Je	O
ne	O
veux	O
écouter	O
ni	O
faveur	O
ni	O
caprice	O
,	O
Et	O
vous	O
verrez	O
par	O
ma	O
justice	O
Le	O
seul	O
mérite	O
couronné	O
.	O

C'	O
est	O
sur	O
ce	O
digne	O
espoir	O
grand	O
Dieu	O
que	O
je	O
commence	O
,	O
Et	O
je	O
prends	O
pour	O
ma	O
gloire	O
une	O
entière	O
assurance	O
.	O

Sur	O
le	O
luth	O
ou	O
sur	O
la	O
musette	O
,	O
Pour	O
le	O
sceptre	O
ou	O
pour	O
la	O
houlette	O
,	O
Chantez	O
,	O
mes	O
soeurs	O
,	O
chantez	O
de	O
toutes	O
les	O
façons	O
:	O
Pour	O
moi	O
je	O
n'	O
aime	O
qu'	O
à	O
médire	O
,	O
Et	O
la	O
gloire	O
de	O
faire	O
rire	O
Vaut	O
bien	O
celle	O
de	O
vos	O
chansons	O
.	O

Melpomène	O
,	O
ces	O
chants	O
si	O
charmants	O
et	O
si	O
doux	O
Semblent	O
à	O
votre	O
soeur	O
promettre	O
la	O
victoire	O
.	O

Non	O
,	O
non	O
vous	O
n'	O
avez	O
rien	O
à	O
craindre	O
pour	O
ma	O
gloire	O
,	O
Grand	O
Dieu	O
,	O
vous	O
êtes	O
juste	O
et	O
c'	O
est	O
assez	O
pour	O
nous	O
.	O

Faibles	O
esprits	O
,	O
âmes	O
vulgaires	O
,	O
Qui	O
des	O
biens	O
les	O
plus	O
ordinaires	O
Faites	O
vos	O
solides	O
plaisirs	O
,	O
Ce	O
n'	O
est	O
pas	O
vous	O
que	O
je	O
veux	O
croire	O
:	O
De	O
plus	O
dignes	O
objets	O
occupent	O
mes	O
désirs	O
,	O
Et	O
si	O
je	O
pousse	O
des	O
soupirs	O
,	O
C'	O
est	O
pour	O
le	O
trône	O
ou	O
pour	O
la	O
gloire	O
.	O

Déesse	O
,	O
l'	O
une	O
et	O
l'	O
autre	O
ont	O
charmé	O
mes	O
oreilles	O
.	O

Attendez	O
de	O
ma	O
voix	O
de	O
plus	O
grandes	O
merveilles	O
.	O

Venez	O
pasteurs	O
,	O
venez	O
,	O
et	O
des	O
chants	O
les	O
plus	O
beaux	O
,	O
Des	O
plaines	O
de	O
l'	O
Écho	O
,	O
du	O
bruit	O
de	O
vos	O
ruisseaux	O
,	O
Faites	O
un	O
concert	O
agréable	O
;	O

Faites	O
voir	O
à	O
mes	O
soeurs	O
par	O
des	O
charmes	O
si	O
doux	O
,	O
Que	O
tout	O
ce	O
qu'	O
elles	O
ont	O
d'	O
aimable	O
,	O
Ne	O
l'	O
est	O
pas	O
tant	O
que	O
vous	O
.	O

Prononcez	O
votre	O
arrêt	O
,	O
grand	O
Dieu	O
qu'	O
attendez-vous	O
?	O

Est-il	O
si	O
